ticker,market,industry
3633,スタンダード（内国株式）,情報・通信業
2984,スタンダード（内国株式）,不動産業
6150,スタンダード（内国株式）,機械
463A,スタンダード（内国株式）,不動産業
4091,プライム（内国株式）,化学
7198,プライム（内国株式）,その他金融業
6167,プライム（内国株式）,機械
3627,スタンダード（内国株式）,情報・通信業
7058,スタンダード（内国株式）,サービス業
6890,スタンダード（内国株式）,電気機器
2726,プライム（内国株式）,小売業
6955,スタンダード（内国株式）,電気機器
7615,スタンダード（内国株式）,小売業
2379,プライム（内国株式）,サービス業
4539,スタンダード（内国株式）,医薬品
2440,スタンダード（内国株式）,サービス業
3958,スタンダード（内国株式）,パルプ・紙
5724,スタンダード（内国株式）,非鉄金属
2120,プライム（内国株式）,サービス業
3696,プライム（内国株式）,情報・通信業
8771,プライム（内国株式）,その他金融業
211A,スタンダード（内国株式）,建設業
2736,スタンダード（内国株式）,小売業
6572,プライム（内国株式）,サービス業
6306,プライム（内国株式）,機械
5283,スタンダード（内国株式）,卸売業
8253,プライム（内国株式）,その他金融業
9686,スタンダード（内国株式）,サービス業
3683,スタンダード（内国株式）,情報・通信業
2384,プライム（内国株式）,陸運業
5871,スタンダード（内国株式）,サービス業
3969,スタンダード（内国株式）,情報・通信業
3686,スタンダード（内国株式）,情報・通信業
9720,スタンダード（内国株式）,サービス業
7416,スタンダード（内国株式）,小売業
3024,スタンダード（内国株式）,卸売業
9790,プライム（内国株式）,情報・通信業
8613,プライム（内国株式）,証券、商品先物取引業
5482,プライム（内国株式）,鉄鋼
7150,スタンダード（内国株式）,銀行業
4061,プライム（内国株式）,化学
4242,スタンダード（内国株式）,化学
9046,スタンダード（内国株式）,陸運業
8929,スタンダード（内国株式）,不動産業
9519,プライム（内国株式）,電気・ガス業
9716,プライム（内国株式）,サービス業
4512,スタンダード（内国株式）,医薬品
2221,スタンダード（内国株式）,食料品
1885,プライム（内国株式）,建設業
3148,プライム（内国株式）,小売業
9438,プライム（内国株式）,情報・通信業
9021,プライム（内国株式）,陸運業
6779,プライム（内国株式）,電気機器
5011,プライム（内国株式）,石油・石炭製品
1948,スタンダード（内国株式）,建設業
7477,スタンダード（内国株式）,卸売業
9691,スタンダード（内国株式）,情報・通信業
7744,プライム（内国株式）,精密機器
7595,プライム（内国株式）,情報・通信業
3908,スタンダード（内国株式）,情報・通信業
3996,スタンダード（内国株式）,情報・通信業
7637,プライム（内国株式）,卸売業
4064,プライム（内国株式）,化学
3839,スタンダード（内国株式）,情報・通信業
6662,スタンダード（内国株式）,電気機器
9351,スタンダード（内国株式）,倉庫・運輸関連業
6777,スタンダード（内国株式）,電気機器
7500,スタンダード（内国株式）,卸売業
4765,プライム（内国株式）,サービス業
2315,スタンダード（内国株式）,情報・通信業
2993,スタンダード（内国株式）,不動産業
1980,プライム（内国株式）,建設業
9380,スタンダード（内国株式）,倉庫・運輸関連業
6869,プライム（内国株式）,電気機器
3103,スタンダード（内国株式）,繊維製品
7821,プライム（内国株式）,その他製品
9036,スタンダード（内国株式）,陸運業
8848,プライム（内国株式）,不動産業
7413,スタンダード（内国株式）,卸売業
4626,プライム（内国株式）,化学
1438,スタンダード（内国株式）,建設業
7447,プライム（内国株式）,卸売業
4112,プライム（内国株式）,化学
7815,スタンダード（内国株式）,その他製品
6823,プライム（内国株式）,電気機器
2212,プライム（内国株式）,食料品
8707,プライム（内国株式）,証券、商品先物取引業
3694,プライム（内国株式）,情報・通信業
2931,プライム（内国株式）,食料品
6763,プライム（内国株式）,電気機器
3844,プライム（内国株式）,情報・通信業
6392,スタンダード（内国株式）,機械
1945,プライム（内国株式）,建設業
3431,プライム（内国株式）,金属製品
4667,スタンダード（内国株式）,情報・通信業
4681,プライム（内国株式）,サービス業
9302,プライム（内国株式）,倉庫・運輸関連業
9539,スタンダード（内国株式）,電気・ガス業
7189,プライム（内国株式）,銀行業
3660,プライム（内国株式）,情報・通信業
