scenario,stock_code,profit,trades,win_rate
legacy_as_is,1570,-13254.00000000,61,49.18032787
legacy_as_is,4188,-16991.00000000,110,52.72727273
legacy_as_is,4689,16499.00000000,6,83.33333333
legacy_as_is,5020,142062.00000000,181,52.48618785
legacy_as_is,7211,-23677.00000000,23,30.43478261
legacy_as_is,7267,-15032.00000000,5,20.00000000
legacy_as_is,8306,158693.00000000,196,52.04081633
legacy_signals_v2_portfolio,1570,-51591.79591160,14,28.57142857
legacy_signals_v2_portfolio,4188,-21347.14889447,25,56.00000000
legacy_signals_v2_portfolio,5020,76712.17181366,50,52.00000000
legacy_signals_v2_portfolio,7211,-8523.01078344,1,0.00000000
legacy_signals_v2_portfolio,7267,1056.05339580,1,100.00000000
legacy_signals_v2_portfolio,8306,-19752.43433037,46,52.17391304
v2_signals_independent_budget,1570,27985.57087773,70,50.00000000
v2_signals_independent_budget,4188,-58036.52239420,54,44.44444444
v2_signals_independent_budget,4689,-2258.45416057,13,38.46153846
v2_signals_independent_budget,5020,35833.28322879,68,55.88235294
v2_signals_independent_budget,7211,-23002.65884878,112,40.17857143
v2_signals_independent_budget,7267,12009.90728901,16,50.00000000
v2_signals_independent_budget,8306,175075.22084226,199,52.76381910
v2_signals_independent_budget,9432,-28128.94179231,94,50.00000000
v2_full,1570,-22167.06535160,8,25.00000000
v2_full,4188,5693.67728820,15,53.33333333
v2_full,4689,2374.12786016,6,50.00000000
v2_full,5020,5194.84053178,17,52.94117647
v2_full,7211,-43389.29000366,34,29.41176471
v2_full,7267,3515.02384153,4,50.00000000
v2_full,8306,-56506.22508081,48,43.75000000
v2_full,9432,-5480.88734741,8,50.00000000
