signal_date,entry_date,exit_date,prob,entry_price,exit_price,qty,profit,equity,win,exit_reason,code,status,stop_loss_percent
2025-04-01,2025-04-02,2025-04-03,0.55637825,22701.80850000,21545.15140000,13,-15036,284963,False,STOP,1570,FILLED,5.00000000
2025-04-01,2025-04-02,2025-04-03,0.53335266,709.61110000,673.45640000,422,-15257,284742,False,STOP,4188,FILLED,5.00000000
2025-04-01,2025-04-02,2025-04-02,0.71869256,770.67840000,754.50960000,389,-6289,293710,False,STOP,5020,FILLED,2.00000000
2025-04-01,2025-04-02,2025-04-03,0.74829812,1925.62210000,1827.51160000,155,-15207,284792,False,STOP,8306,FILLED,5.00000000
2025-04-02,2025-04-03,2025-04-04,0.91284516,1746.69690000,1657.70270000,171,-15218,284781,False,STOP,8306,FILLED,5.00000000
2025-04-03,2025-04-04,2025-04-07,0.69169090,20606.18000000,19556.29510000,14,-14698,285301,False,STOP,1570,FILLED,5.00000000
2025-04-03,2025-04-04,2025-04-04,0.62734780,679.29630000,665.04470000,441,-6284,293715,False,STOP,5020,FILLED,2.00000000
2025-04-03,2025-04-04,2025-04-04,0.79599093,1639.82530000,1556.27620000,182,-15205,284794,False,STOP,8306,FILLED,5.00000000
2025-04-04,2025-04-07,2025-04-08,0.63450460,16705.01000000,19074.27600000,17,40277,340277,True,TIME,1570,FILLED,5.00000000
2025-04-04,2025-04-07,2025-04-08,0.67499474,582.67020000,640.26160000,514,29601,329601,True,TIME,5020,FILLED,2.00000000
2025-04-04,2025-04-07,2025-04-08,0.45581903,1275.20480000,1602.59490000,235,76936,376936,True,TIME,8306,FILLED,5.00000000
2025-04-07,2025-04-08,2025-04-09,0.56693514,19040.71050000,18070.58630000,15,-14551,285448,False,STOP,1570,FILLED,5.00000000
2025-04-07,2025-04-08,2025-04-09,0.95597759,614.99630000,583.66220000,487,-15259,284740,False,STOP,4188,FILLED,5.00000000
2025-04-07,2025-04-08,2025-04-09,0.90429863,642.87940000,629.39180000,466,-6285,293714,False,STOP,5020,FILLED,2.00000000
2025-04-07,2025-04-08,2025-04-09,0.17436311,1622.90000000,1540.21320000,184,-15214,284785,False,STOP,8306,FILLED,5.00000000
2025-04-08,2025-04-09,2025-04-09,0.69441363,18065.41800000,17144.98500000,16,-14726,285273,False,STOP,1570,FILLED,5.00000000
2025-04-08,2025-04-09,2025-04-10,0.92895626,597.32840000,639.23180000,502,21035,321035,True,TIME,4188,FILLED,5.00000000
2025-04-08,2025-04-09,2025-04-09,0.88151309,614.32860000,601.44000000,488,-6289,293710,False,STOP,5020,FILLED,2.00000000
2025-04-08,2025-04-09,2025-04-10,0.70055747,1547.46110000,1653.82380000,193,20527,320527,True,TIME,8306,FILLED,5.00000000
2025-04-09,2025-04-10,2025-04-11,0.43555786,643.09110000,610.32560000,466,-15268,284731,False,STOP,4188,FILLED,5.00000000
2025-04-09,2025-04-10,2025-04-10,0.78888567,696.09670000,681.49250000,430,-6279,293720,False,STOP,5020,FILLED,2.00000000
