date,available_cash,pending_cash,locked_capital,open_positions,equity
2025-04-01,300000.00000000,0.00000000,0.00000000,0,300000.00000000
2025-04-02,1528.57553540,0.00000000,298471.42446460,1,300000.00000000
2025-04-03,1528.57553540,270386.16108040,0.00000000,0,271914.73661580
2025-04-04,1343.56520955,256785.57022305,0.00000000,0,258129.13543260
2025-04-07,115.60049232,252600.41097936,0.00000000,0,252716.01147168
2025-04-08,64.39602009,0.00000000,252651.61545159,1,252716.01147168
2025-04-09,64.39602009,241117.36289364,0.00000000,0,241181.75891373
2025-04-10,332.31695843,233390.33473620,0.00000000,0,233722.65169463
2025-04-11,535.74376719,0.00000000,233186.90792744,1,233722.65169463
2025-04-14,535.74376719,244764.87369592,0.00000000,0,245300.61746311
2025-04-15,826.88977240,0.00000000,244473.72769071,1,245300.61746311
2025-04-16,826.88977240,239656.56253471,0.00000000,0,240483.45230711
2025-04-17,534.04641623,0.00000000,239949.40589088,1,240483.45230711
2025-04-18,534.04641623,250823.55695250,0.00000000,0,251357.60336873
2025-04-21,407.74307713,0.00000000,250949.86029160,1,251357.60336873
2025-04-22,407.74307713,244656.69021940,0.00000000,0,245064.43329653
2025-04-23,226.08850774,0.00000000,244838.34478879,1,245064.43329653
2025-04-24,226.08850774,247931.96930415,0.00000000,0,248158.05781189
2025-04-25,108.77897257,0.00000000,248049.27883932,1,248158.05781189
2025-04-28,108.77897257,250761.52359755,0.00000000,0,250870.30257012
2025-04-30,230.25119092,0.00000000,250640.05137920,1,250870.30257012
2025-05-01,230.25119092,242877.72899200,0.00000000,0,243107.98018292
2025-05-02,39.10391812,0.00000000,243068.87626480,1,243107.98018292
2025-05-07,39.10391812,251681.21797110,0.00000000,0,251720.32188922
2025-05-08,140.69830458,0.00000000,251579.62358464,1,251720.32188922
2025-05-09,140.69830458,255938.19452400,0.00000000,0,256078.89282858
2025-05-12,6.99730578,0.00000000,256071.89552280,1,256078.89282858
2025-05-13,6.99730578,249683.22343396,0.00000000,0,249690.22073974
2025-05-14,112.02107086,0.00000000,249578.19966888,1,249690.22073974
2025-05-15,112.02107086,250246.28109744,0.00000000,0,250358.30216830
2025-05-16,250358.30216830,0.00000000,0.00000000,0,250358.30216830
2025-05-19,611.30404963,0.00000000,249746.99811867,1,250358.30216830
2025-05-20,611.30404963,248746.72394955,0.00000000,0,249358.02799918
2025-05-21,241.22481274,0.00000000,249116.80318644,1,249358.02799918
2025-05-22,241.22481274,248681.18856084,0.00000000,0,248922.41337358
2025-05-23,203.88042982,0.00000000,248718.53294376,1,248922.41337358
2025-05-26,203.88042982,246613.48429221,0.00000000,0,246817.36472203
2025-05-27,246817.36472203,0.00000000,0.00000000,0,246817.36472203
2025-05-28,182.84637223,0.00000000,246634.51834980,1,246817.36472203
2025-05-29,182.84637223,256606.77416220,0.00000000,0,256789.62053443
2025-05-30,265.36323139,0.00000000,256524.25730304,1,256789.62053443
2025-06-02,265.36323139,253588.91123648,0.00000000,0,253854.27446787
2025-06-03,1407.72368100,0.00000000,252446.55078687,1,253854.27446787
2025-06-04,1407.72368100,250775.65646992,0.00000000,0,252183.38015092
2025-06-05,344.59104762,0.00000000,251838.78910330,1,252183.38015092
2025-06-06,344.59104762,250787.56372341,0.00000000,0,251132.15477103
2025-06-09,615.17329800,0.00000000,250516.98147303,1,251132.15477103
2025-06-10,615.17329800,253518.27081777,0.00000000,0,254133.44411577
2025-06-11,1370.16137912,0.00000000,252763.28273665,1,254133.44411577
2025-06-12,1370.16137912,252418.84195542,0.00000000,0,253789.00333454
2025-06-13,188.14843750,0.00000000,253600.85489704,1,253789.00333454
2025-06-16,188.14843750,250742.00140552,0.00000000,0,250930.14984302
2025-06-17,1854.66362786,0.00000000,249075.48621516,1,250930.14984302
2025-06-18,1854.66362786,249436.43860476,0.00000000,0,251291.10223262
2025-06-19,938.95039646,0.00000000,250352.15183616,1,251291.10223262
2025-06-20,938.95039646,249755.41807788,0.00000000,0,250694.36847434
2025-06-23,260.30902030,0.00000000,250434.05945404,1,250694.36847434
2025-06-24,260.30902030,244510.43201739,0.00000000,0,244770.74103769
2025-06-25,614.32335889,0.00000000,244156.41767880,1,244770.74103769
2025-06-26,614.32335889,244075.57981600,0.00000000,0,244689.90317489
2025-06-27,11.74165957,0.00000000,244678.16151532,1,244689.90317489
2025-06-30,11.74165957,247205.65882116,0.00000000,0,247217.40048073
2025-07-01,23070.17648073,0.00000000,224147.22400000,1,247217.40048073
2025-07-02,23070.17648073,217774.64800000,0.00000000,0,240844.82448073
2025-07-03,1471.91817823,0.00000000,239372.90630250,1,240844.82448073
2025-07-04,1471.91817823,243518.55154000,0.00000000,0,244990.46971823
2025-07-07,742.91156551,0.00000000,244247.55815272,1,244990.46971823
2025-07-08,742.91156551,243025.01934584,0.00000000,0,243767.93091135
2025-07-09,565.06293020,0.00000000,243202.86798115,1,243767.93091135
2025-07-10,565.06293020,242136.32058161,0.00000000,0,242701.38351181
2025-07-11,304.85080081,0.00000000,242396.53271100,1,242701.38351181
2025-07-14,304.85080081,242251.14318210,0.00000000,0,242555.99398291
2025-07-15,293.33698291,0.00000000,242262.65700000,1,242555.99398291
2025-07-16,293.33698291,243646.88400000,0.00000000,0,243940.22098291
2025-07-17,20.52171945,0.00000000,243919.69926346,1,243940.22098291
2025-07-18,20.52171945,242360.73203003,0.00000000,0,242381.25374948
2025-07-22,971.49309938,0.00000000,241409.76065010,1,242381.25374948
2025-07-23,971.49309938,255453.41739330,0.00000000,0,256424.91049268
2025-07-24,17153.15049268,0.00000000,239271.76000000,1,256424.91049268
2025-07-25,17153.15049268,236009.17600000,0.00000000,0,253162.32649268
2025-07-28,283.46098628,0.00000000,252878.86550640,1,253162.32649268
2025-07-29,283.46098628,255172.92905664,0.00000000,0,255456.39004292
2025-07-30,79.80676004,0.00000000,255376.58328288,1,255456.39004292
2025-07-31,79.80676004,258599.71345500,0.00000000,0,258679.52021504
2025-08-01,743.08552064,0.00000000,257936.43469440,1,258679.52021504
2025-08-04,743.08552064,253411.97996016,0.00000000,0,254155.06548080
2025-08-05,371.42105328,0.00000000,253783.64442752,1,254155.06548080
2025-08-06,371.42105328,257033.78859904,0.00000000,0,257405.20965232
2025-08-07,103.09674532,0.00000000,257302.11290700,1,257405.20965232
2025-08-08,103.09674532,268036.79272976,0.00000000,0,268139.88947508
2025-08-12,181.50862132,0.00000000,267958.38085376,1,268139.88947508
2025-08-13,181.50862132,275159.17747456,0.00000000,0,275340.68609588
2025-08-14,299.80302893,0.00000000,275040.88306695,1,275340.68609588
2025-08-15,299.80302893,273864.09144402,0.00000000,0,274163.89447295
2025-08-18,1133.71346015,0.00000000,273030.18101280,1,274163.89447295
2025-08-19,1133.71346015,261267.41656680,0.00000000,0,262401.13002695
2025-08-20,6244.30602695,0.00000000,256156.82400000,1,262401.13002695
2025-08-21,6244.30602695,249205.21600000,0.00000000,0,255449.52202695
2025-08-22,350.99778623,0.00000000,255098.52424072,1,255449.52202695
2025-08-25,350.99778623,248613.89357255,0.00000000,0,248964.89135878
2025-08-26,233.84762623,0.00000000,248731.04373255,1,248964.89135878
2025-08-27,233.84762623,250605.29993955,0.00000000,0,250839.14756578
2025-08-28,92.42490270,0.00000000,250746.72266308,1,250839.14756578
2025-08-29,92.42490270,253287.30545936,0.00000000,0,253379.73036206
2025-09-01,423.17556662,0.00000000,252956.55479544,1,253379.73036206
2025-09-02,423.17556662,259096.20923816,0.00000000,0,259519.38480478
2025-09-03,487.47052988,0.00000000,259031.91427490,1,259519.38480478
2025-09-04,487.47052988,260106.83375393,0.00000000,0,260594.30428381
2025-09-05,485.39330014,0.00000000,260108.91098367,1,260594.30428381
2025-09-08,485.39330014,262885.97992349,0.00000000,0,263371.37322363
2025-09-09,2024.53227061,0.00000000,261346.84095302,1,263371.37322363
2025-09-10,2024.53227061,265068.04019778,0.00000000,0,267092.57246839
2025-09-11,1804.55146724,0.00000000,265288.02100115,1,267092.57246839
2025-09-12,1804.55146724,263288.53002116,0.00000000,0,265093.08148840
2025-09-16,8.96657992,0.00000000,265084.11490848,1,265093.08148840
2025-09-17,8.96657992,266904.55743696,0.00000000,0,266913.52401688
2025-09-18,392.27144788,0.00000000,266521.25256900,1,266913.52401688
2025-09-19,392.27144788,263830.66591700,0.00000000,0,264222.93736488
2025-09-22,698.68929486,0.00000000,263524.24807002,1,264222.93736488
2025-09-24,698.68929486,271469.75765616,0.00000000,0,272168.44695102
2025-09-25,56.31924670,0.00000000,272112.12770432,1,272168.44695102
2025-09-26,56.31924670,276099.33137760,0.00000000,0,276155.65062430
2025-09-29,116.85152932,267489.87748830,0.00000000,0,267606.72901762
2025-09-30,267606.72901762,0.00000000,0.00000000,0,267606.72901762
2025-10-01,281.21749858,0.00000000,267325.51151904,1,267606.72901762
2025-10-02,281.21749858,266674.78776412,0.00000000,0,266956.00526270
2025-10-03,476.06971070,0.00000000,266479.93555200,1,266956.00526270
2025-10-06,476.06971070,272617.60423800,0.00000000,0,273093.67394870
2025-10-07,51.15185104,0.00000000,273042.52209766,1,273093.67394870
2025-10-08,51.15185104,275206.61703430,0.00000000,0,275257.76888534
2025-10-09,65.61110734,0.00000000,275192.15777800,1,275257.76888534
2025-10-10,65.61110734,274130.08484775,0.00000000,0,274195.69595509
