pass_number,stock_code,previous_rule,candidate_rule,candidate_metrics,accepted,reason
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 3.0, ""target_percent"": 2.5, ""threshold"": 0.2, ""validation_score"": 44257.65304491}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 7.95134443, ""profit"": 103983.6286103, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 193, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 60, ""wins"": 39}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 49151.0572336, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 196, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.94929732, ""profit"": 25863.19089348, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 256, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 49.27430211, ""min_fold_profit"": 25863.19089348, ""month_win_rate"": 68.42105263, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 37773.814, ""4188"": 3472.25540013, ""4689"": 3388.82348838, ""5020"": 15299.66855631, ""7211"": 15778.0284712, ""7267"": 23196.2945541, ""8306"": 96078.84085027, ""9432"": -15989.84858301}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 645, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 178997.87673738, ""trade_count"": 183, ""worst_max_drawdown_percent"": 18.94929732}",True,ACCEPTED_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 2.0, ""target_percent"": 2.0, ""threshold"": 0.4, ""validation_score"": 41326.385983190004}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 7.95235997, ""profit"": 103930.24075602, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 182, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 37}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 188, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 19.74584686, ""profit"": 28197.65861073, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 251, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 64, ""wins"": 31}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 47.44590507, ""min_fold_profit"": 28197.65861073, ""month_win_rate"": 68.42105263, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 37752.31679073, ""4188"": -3313.57501629, ""4689"": 8220.70349798, ""5020"": 21651.73840329, ""7211"": 13243.30457399, ""7267"": 23026.2823049, ""8306"": 93795.94993837, ""9432"": -15991.26163122}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 621, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 178385.45886175, ""trade_count"": 182, ""worst_max_drawdown_percent"": 19.74584686}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 2.0, ""target_percent"": 2.5, ""threshold"": 0.4, ""validation_score"": 34494.069219779994}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.21688568, ""profit"": 90473.29438014, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 176, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 36}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 187, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.55124149, ""profit"": 38418.30592265, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 241, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 47.57999325, ""min_fold_profit"": 38418.30592265, ""month_win_rate"": 68.42105263, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 13569.89062733, ""4188"": 2838.74198772, ""4689"": 3363.49253158, ""5020"": 14846.89739491, ""7211"": 41572.32385759, ""7267"": 23961.3496755, ""8306"": 90905.45574517, ""9432"": -15908.99202201}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 604, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 175149.15979779, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.55124149}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 2.0, ""target_percent"": 2.0, ""threshold"": 0.3, ""validation_score"": 38505.20467786}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 7.95235997, ""profit"": 103930.24075602, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 188, ""SKIPPED_NO_FUTURE_DATA"": 5}, ""trades"": 58, ""wins"": 37}, {""fold"": 2, ""max_drawdown_percent"": 13.9371233, ""profit"": 42560.95533522, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 193, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 61, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 19.74584686, ""profit"": 28197.65861073, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 257, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 64, ""wins"": 31}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 52.73507566, ""min_fold_profit"": 28197.65861073, ""month_win_rate"": 68.42105263, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 34971.89084169, ""4188"": -5127.40043179, ""4689"": 1959.68389658, ""5020"": 16862.89274638, ""7211"": 13265.39487095, ""7267"": 23026.2823049, ""8306"": 100512.16035232, ""9432"": -10782.04987906}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 638, ""SKIPPED_NO_FUTURE_DATA"": 16}, ""total_profit"": 174688.85470197, ""trade_count"": 183, ""worst_max_drawdown_percent"": 19.74584686}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.5, ""threshold"": 0.5, ""validation_score"": 24495.788518740002}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.49776113, ""profit"": 77101.67749969, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 170, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 35}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 186, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.55122158, ""profit"": 38489.28467252, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 238, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 50.37545762, ""min_fold_profit"": 38489.28467252, ""month_win_rate"": 63.15789474, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": -1511.829, ""4188"": 5799.07099507, ""4689"": 3363.49253158, ""5020"": 14865.9040766, ""7211"": 41560.5680531, ""7267"": 23961.3496755, ""8306"": 90905.45574517, ""9432"": -17095.49040981}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 594, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 161848.52166721, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.55122158}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 2.0, ""target_percent"": 2.5, ""threshold"": 0.5, ""validation_score"": 6956.260726570001}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.52288976, ""profit"": 75948.33249234, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 174, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 35}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 186, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.55124149, ""profit"": 38418.30592265, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 236, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 51.15103262, ""min_fold_profit"": 38418.30592265, ""month_win_rate"": 63.15789474, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 231.42712733, ""4188"": 2838.74198772, ""4689"": 3363.49253158, ""5020"": 14846.89739491, ""7211"": 41572.32385759, ""7267"": 23961.3496755, ""8306"": 90905.45574517, ""9432"": -17095.49040981}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 596, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 160624.19790999, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.55124149}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 2.0, ""target_percent"": 1.0, ""threshold"": 0.5, ""validation_score"": 79308.01465458001}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.31558423, ""profit"": 85671.62062618, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 186, ""SKIPPED_NO_FUTURE_DATA"": 5}, ""trades"": 58, ""wins"": 34}, {""fold"": 2, ""max_drawdown_percent"": 19.10455287, ""profit"": 13475.73994014, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 208, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 62, ""wins"": 30}, {""fold"": 3, ""max_drawdown_percent"": 14.4781476, ""profit"": 60466.16555445, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 266, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 64, ""wins"": 33}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 29.36823444, ""min_fold_profit"": 13475.73994014, ""month_win_rate"": 63.15789474, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 43844.2084051, ""4188"": 2326.29116548, ""4689"": 8220.70349798, ""5020"": 21134.69644199, ""7211"": 29394.07103545, ""7267"": 25051.24812326, ""8306"": 54041.19789722, ""9432"": -24398.89044571}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 660, ""SKIPPED_NO_FUTURE_DATA"": 16}, ""total_profit"": 159613.52612077, ""trade_count"": 184, ""worst_max_drawdown_percent"": 19.10455287}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.5, ""validation_score"": 77646.96391666}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.42207346, ""profit"": 80617.14864631, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 178, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 35}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 40467.51805752, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 188, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 31}, {""fold"": 3, ""max_drawdown_percent"": 18.94929732, ""profit"": 37180.7018411, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 243, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 51.48348168, ""min_fold_profit"": 37180.7018411, ""month_win_rate"": 63.15789474, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 33985.507, ""4188"": 5626.2855541, ""4689"": 3388.82348838, ""5020"": 3418.10889621, ""7211"": 15145.71181804, ""7267"": 23553.77529064, ""8306"": 90323.50346837, ""9432"": -17176.34697081}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 609, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 158265.36854493, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.94929732}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 3.0, ""target_percent"": 2.5, ""threshold"": 0.5, ""validation_score"": 16696.08919574}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.21688568, ""profit"": 90473.29438014, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 174, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 36}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 185, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.94929732, ""profit"": 21313.15920016, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 240, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 29}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 50.66925889, ""min_fold_profit"": 21313.15920016, ""month_win_rate"": 68.42105263, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 19619.824, ""4188"": 3472.25540013, ""4689"": 3388.82348838, ""5020"": 14711.70409701, ""7211"": 21463.292191, ""7267"": 23196.2945541, ""8306"": 88181.66792769, ""9432"": -15989.84858301}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 599, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 158044.0130753, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.94929732}",False,NOT_BEST_PORTFOLIO
1,1570,"{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.0, ""threshold"": 0.2, ""validation_score"": 100326.78164188}","{""code"": ""1570"", ""stop_loss_percent"": 5.0, ""target_percent"": 2.5, ""threshold"": 0.3, ""validation_score"": 65362.40254116}","{""by_fold"": [{""fold"": 1, ""max_drawdown_percent"": 8.49776113, ""profit"": 77101.67749969, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 176, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 58, ""wins"": 35}, {""fold"": 2, ""max_drawdown_percent"": 14.46599928, ""profit"": 46257.559495, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 188, ""SKIPPED_NO_FUTURE_DATA"": 7}, ""trades"": 60, ""wins"": 32}, {""fold"": 3, ""max_drawdown_percent"": 18.94929732, ""profit"": 32106.49038906, ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 247, ""SKIPPED_NO_FUTURE_DATA"": 4}, ""trades"": 63, ""wins"": 30}], ""failed_check_count"": 1, ""failed_checks"": [""drawdown_ok""], ""max_stock_profit_share"": 52.15594284, ""min_fold_profit"": 32106.49038906, ""month_win_rate"": 63.15789474, ""positive_folds"": 3, ""profit_by_stock"": {""1570"": 14914.0805, ""4188"": 6432.58440748, ""4689"": 3388.82348838, ""5020"": 14711.70409701, ""7211"": 19955.48568658, ""7267"": 23196.2945541, ""8306"": 90043.10162101, ""9432"": -17176.34697081}, ""selection_status"": ""REVIEW"", ""skip_counts"": {""SKIPPED_MAX_OPEN_POSITIONS"": 611, ""SKIPPED_NO_FUTURE_DATA"": 15}, ""total_profit"": 155465.72738375, ""trade_count"": 181, ""worst_max_drawdown_percent"": 18.94929732}",False,NOT_BEST_PORTFOLIO
