code,signal_date,planned_entry_date,prob,status,available_cash
4188,2025-04-01,2025-04-02,0.43548140,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
9432,2025-04-01,2025-04-02,0.32205863,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
1570,2025-04-01,2025-04-02,0.31806794,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
8306,2025-04-02,2025-04-03,0.82672467,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
1570,2025-04-02,2025-04-03,0.27014452,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
5020,2025-04-02,2025-04-03,0.25817947,SKIPPED_MAX_OPEN_POSITIONS,1528.57553540
7211,2025-04-04,2025-04-07,0.59520132,SKIPPED_MAX_OPEN_POSITIONS,115.60049232
8306,2025-04-04,2025-04-07,0.50090888,SKIPPED_MAX_OPEN_POSITIONS,115.60049232
4188,2025-04-04,2025-04-07,0.42595637,SKIPPED_MAX_OPEN_POSITIONS,115.60049232
1570,2025-04-04,2025-04-07,0.23678303,SKIPPED_MAX_OPEN_POSITIONS,115.60049232
4188,2025-04-07,2025-04-08,0.52534311,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
7211,2025-04-07,2025-04-08,0.34249225,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
8306,2025-04-07,2025-04-08,0.17436311,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
4188,2025-04-08,2025-04-09,0.85787333,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
8306,2025-04-08,2025-04-09,0.73858003,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
7267,2025-04-08,2025-04-09,0.60166745,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
5020,2025-04-08,2025-04-09,0.59378106,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
7211,2025-04-08,2025-04-09,0.57888730,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
1570,2025-04-08,2025-04-09,0.47033853,SKIPPED_MAX_OPEN_POSITIONS,64.39602009
9432,2025-04-09,2025-04-10,0.62500810,SKIPPED_MAX_OPEN_POSITIONS,332.31695843
4188,2025-04-09,2025-04-10,0.53473237,SKIPPED_MAX_OPEN_POSITIONS,332.31695843
8306,2025-04-09,2025-04-10,0.41711232,SKIPPED_MAX_OPEN_POSITIONS,332.31695843
9432,2025-04-10,2025-04-11,0.51239241,SKIPPED_MAX_OPEN_POSITIONS,535.74376719
