Code,Fold,TargetPercent,StopLossPercent,Threshold,ValidationProfit,ValidationTrades,ValidationWins,TrainLastFeatureDate,TrainLastLabelConfirmedDate,ValidationFrom,ValidationTo,SelectionBasis,TestProfitDiagnosticOnly,TestTradesDiagnosticOnly,TestFromDiagnosticOnly,TestToDiagnosticOnly
1570,1,2.50000000,3.00000000,0.20000000,42523.34178534,25,17,2023-03-07,2023-03-09,2023-03-10,2023-09-08,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-21519.87451190,5,2023-09-11,2024-03-15
1570,2,2.50000000,3.00000000,0.20000000,-33185.56533884,11,5,2023-09-06,2023-09-08,2023-09-11,2024-03-15,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-166.65407565,28,2024-03-18,2024-09-17
1570,3,2.50000000,3.00000000,0.20000000,34919.87659841,25,15,2024-03-13,2024-03-15,2024-03-18,2024-09-17,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-40777.19664945,32,2024-09-18,2025-03-27
4188,1,1.00000000,2.00000000,0.40000000,25269.06724576,22,15,2023-03-07,2023-03-09,2023-03-10,2023-09-08,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-51590.34564643,24,2023-09-11,2024-03-15
4188,2,1.00000000,2.00000000,0.40000000,-28334.33625065,20,8,2023-09-06,2023-09-08,2023-09-11,2024-03-15,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,3822.90673945,26,2024-03-18,2024-09-17
4188,3,1.00000000,2.00000000,0.40000000,24371.40160984,23,12,2024-03-13,2024-03-15,2024-03-18,2024-09-17,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-27313.39891195,24,2024-09-18,2025-03-27
4689,1,1.50000000,2.00000000,0.50000000,52033.95953901,9,5,2023-03-07,2023-03-09,2023-03-10,2023-09-08,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,9532.06374452,19,2023-09-11,2024-03-15
4689,2,1.50000000,2.00000000,0.50000000,18313.21200357,18,11,2023-09-07,2023-09-08,2023-09-11,2024-03-15,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,-8009.07801293,15,2024-03-18,2024-09-17
4689,3,1.50000000,2.00000000,0.50000000,-18330.03693376,9,4,2024-03-13,2024-03-15,2024-03-18,2024-09-17,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,7224.09621339,7,2024-09-18,2025-03-27
5020,1,2.00000000,3.00000000,0.15000000,-19218.82359821,4,1,2023-03-07,2023-03-09,2023-03-10,2023-09-08,VALIDATION_PORTFOLIO_COORDINATE_SEARCH,2677.57077113,6,2023-09-11,2024-03-15
