code,signal_date,training_data_last_feature_date,training_data_last_label_confirmed_date,training_row_count,model_seed,target_percent,stop_loss_percent,threshold
1570,2025-04-01,2025-03-27,2025-03-31,1252,42,2.00000000,5.00000000,0.20000000
4188,2025-04-01,2025-03-27,2025-03-31,1252,42,1.00000000,5.00000000,0.20000000
4689,2025-04-01,2025-03-27,2025-03-31,1252,42,3.00000000,5.00000000,0.15000000
5020,2025-04-01,2025-03-27,2025-03-31,1252,42,1.00000000,3.00000000,0.15000000
7211,2025-04-01,2025-03-27,2025-03-31,1252,42,1.50000000,3.00000000,0.30000000
7267,2025-04-01,2025-03-27,2025-03-31,1252,42,2.00000000,2.00000000,0.30000000
8306,2025-04-01,2025-03-27,2025-03-31,1252,42,1.00000000,5.00000000,0.15000000
9432,2025-04-01,2025-03-27,2025-03-31,1252,42,1.00000000,2.00000000,0.20000000
1570,2025-04-02,2025-03-28,2025-04-01,1253,42,2.00000000,5.00000000,0.20000000
4188,2025-04-02,2025-03-28,2025-04-01,1253,42,1.00000000,5.00000000,0.20000000
4689,2025-04-02,2025-03-28,2025-04-01,1253,42,3.00000000,5.00000000,0.15000000
5020,2025-04-02,2025-03-28,2025-04-01,1253,42,1.00000000,3.00000000,0.15000000
7211,2025-04-02,2025-03-28,2025-04-01,1253,42,1.50000000,3.00000000,0.30000000
7267,2025-04-02,2025-03-28,2025-04-01,1253,42,2.00000000,2.00000000,0.30000000
8306,2025-04-02,2025-03-28,2025-04-01,1253,42,1.00000000,5.00000000,0.15000000
9432,2025-04-02,2025-03-28,2025-04-01,1253,42,1.00000000,2.00000000,0.20000000
1570,2025-04-03,2025-03-31,2025-04-02,1254,42,2.00000000,5.00000000,0.20000000
4188,2025-04-03,2025-03-31,2025-04-02,1254,42,1.00000000,5.00000000,0.20000000
4689,2025-04-03,2025-03-31,2025-04-02,1254,42,3.00000000,5.00000000,0.15000000
5020,2025-04-03,2025-03-31,2025-04-02,1254,42,1.00000000,3.00000000,0.15000000
7211,2025-04-03,2025-03-31,2025-04-02,1254,42,1.50000000,3.00000000,0.30000000
7267,2025-04-03,2025-03-31,2025-04-02,1254,42,2.00000000,2.00000000,0.30000000
8306,2025-04-03,2025-03-31,2025-04-02,1254,42,1.00000000,5.00000000,0.15000000
9432,2025-04-03,2025-03-31,2025-04-02,1254,42,1.00000000,2.00000000,0.20000000
1570,2025-04-04,2025-04-01,2025-04-03,1255,42,2.00000000,5.00000000,0.20000000
4188,2025-04-04,2025-04-01,2025-04-03,1255,42,1.00000000,5.00000000,0.20000000
4689,2025-04-04,2025-04-01,2025-04-03,1255,42,3.00000000,5.00000000,0.15000000
5020,2025-04-04,2025-04-01,2025-04-03,1255,42,1.00000000,3.00000000,0.15000000
7211,2025-04-04,2025-04-01,2025-04-03,1255,42,1.50000000,3.00000000,0.30000000
7267,2025-04-04,2025-04-01,2025-04-03,1255,42,2.00000000,2.00000000,0.30000000
8306,2025-04-04,2025-04-01,2025-04-03,1255,42,1.00000000,5.00000000,0.15000000
9432,2025-04-04,2025-04-01,2025-04-03,1255,42,1.00000000,2.00000000,0.20000000
1570,2025-04-07,2025-04-02,2025-04-04,1256,42,2.00000000,5.00000000,0.20000000
4188,2025-04-07,2025-04-02,2025-04-04,1256,42,1.00000000,5.00000000,0.20000000
4689,2025-04-07,2025-04-02,2025-04-04,1256,42,3.00000000,5.00000000,0.15000000
5020,2025-04-07,2025-04-03,2025-04-04,1257,42,1.00000000,3.00000000,0.15000000
7211,2025-04-07,2025-04-03,2025-04-04,1257,42,1.50000000,3.00000000,0.30000000
7267,2025-04-07,2025-04-03,2025-04-04,1257,42,2.00000000,2.00000000,0.30000000
8306,2025-04-07,2025-04-03,2025-04-04,1257,42,1.00000000,5.00000000,0.15000000
9432,2025-04-07,2025-04-02,2025-04-04,1256,42,1.00000000,2.00000000,0.20000000
1570,2025-04-08,2025-04-03,2025-04-07,1257,42,2.00000000,5.00000000,0.20000000
4188,2025-04-08,2025-04-03,2025-04-07,1257,42,1.00000000,5.00000000,0.20000000
4689,2025-04-08,2025-04-03,2025-04-07,1257,42,3.00000000,5.00000000,0.15000000
5020,2025-04-08,2025-04-03,2025-04-04,1257,42,1.00000000,3.00000000,0.15000000
