signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-23,4188,三菱ケミカルグループ,0.412985850457468,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1071.5,1071.82,1095.0,1094.67,1071.82,1094.67,6375,2.13,0.0,TIME
2026-06-24,4188,三菱ケミカルグループ,0.4056760733432836,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1113.5,1113.83,1094.5,1094.17,1113.83,1094.17,-5289,-1.77,0.0,TIME
2026-06-25,4188,三菱ケミカルグループ,0.3539017626714442,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1099.0,1099.33,1130.0,1129.66,1099.33,1129.66,8250,2.76,0.0,TIME
2026-06-29,4188,三菱ケミカルグループ,0.2061493236062793,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1134.0,1134.34,1115.0,1114.67,1134.34,1114.67,-5194,-1.73,0.0,TIME
2026-06-30,4188,三菱ケミカルグループ,0.4272742509048082,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1132.0,1132.34,1129.5,1129.16,1132.34,1129.16,-839,-0.28,0.0,TIME
2026-07-01,4188,三菱ケミカルグループ,0.2053539191599738,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1113.5,1113.83,1163.0,1162.65,1113.83,1162.65,13131,4.38,0.0,TIME
2026-07-06,4188,三菱ケミカルグループ,0.2329219143292692,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1199.5,1199.86,1176.0,1175.65,1199.86,1175.65,-6053,-2.02,0.0,TIME
2026-07-07,4188,三菱ケミカルグループ,0.2397153374165311,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1173.0,1173.35,1167.5,1167.15,1173.35,1167.15,-1581,-0.53,0.0,TIME
2026-07-08,4188,三菱ケミカルグループ,0.4495055031566881,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
2026-07-09,4188,三菱ケミカルグループ,0.5345184499614568,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
