signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-23,7211,三菱自動車,0.2160732264413493,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,311.9,311.99,309.4,309.31,311.99,309.31,-2581,-0.86,0.0,TIME
2026-06-24,7211,三菱自動車,0.409224903318178,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,310.1,310.19,313.8,313.71,310.19,313.71,3396,1.13,0.0,TIME
2026-06-25,7211,三菱自動車,0.257407800578725,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,309.5,309.59,314.6,314.51,309.59,314.51,4760,1.59,0.0,TIME
2026-06-26,7211,三菱自動車,0.1988090683958474,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,316.0,316.09,312.1,312.01,316.09,312.01,-3879,-1.29,0.0,TIME
2026-06-29,7211,三菱自動車,0.3240798217684794,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,317.7,317.8,314.3,314.21,317.8,314.21,-3388,-1.13,0.0,TIME
2026-06-30,7211,三菱自動車,0.6681277321903518,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,318.6,318.7,328.9,328.8,318.7,328.8,9509,3.17,0.0,TIME
2026-07-01,7211,三菱自動車,0.4419638492308866,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,314.5,314.59,333.8,333.7,314.59,333.7,18207,6.07,0.0,TIME
2026-07-03,7211,三菱自動車,0.4254034866835585,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,336.1,336.2,340.0,339.9,336.2,339.9,3297,1.1,0.0,TIME
2026-07-06,7211,三菱自動車,0.3069839243800077,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,343.2,343.3,335.1,335.0,343.3,335.0,-7248,-2.42,0.0,TIME
2026-07-07,7211,三菱自動車,0.1643113616550203,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,337.9,338.0,330.6,330.5,338.0,330.5,-6652,-2.22,0.0,TIME
2026-07-08,7211,三菱自動車,0.2759721689806645,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,334.0,334.1,361.8,361.69,334.1,361.69,24749,8.26,0.0,TIME
2026-07-09,7211,三菱自動車,0.2306700863616214,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
