code,disc_date,disc_time,disc_no,doc_type,per_type,fy_end,equity,np_forecast,shares_out
1301,2016-11-04,11:30,20160804467681,2QFinancialStatements_Consolidated_JP,2Q,2017-03-31,23600000000,2100000000,10928283
1301,2017-02-10,11:30,20161130449148,3QFinancialStatements_Consolidated_JP,3Q,2017-03-31,25779000000,2100000000,10928283
1301,2017-02-17,15:00,20170217401799,DividendForecastRevision,FY,2017-03-31,,,
1301,2017-05-11,11:30,20170329429729,FYFinancialStatements_Consolidated_JP,FY,2017-03-31,25391000000,2700000000,10928283
1301,2017-08-04,13:00,20170619410034,1QFinancialStatements_Consolidated_JP,1Q,2018-03-31,25560000000,2700000000,10928283
1301,2017-11-06,11:30,20170905468428,2QFinancialStatements_Consolidated_JP,2Q,2018-03-31,26692000000,2700000000,10928283
1301,2018-02-09,11:30,20171215436591,3QFinancialStatements_Consolidated_JP,3Q,2018-03-31,28204000000,2700000000,10928283
1301,2018-02-09,11:30,20180206464852,DividendForecastRevision,FY,2018-03-31,,,
1301,2018-05-10,11:30:00,20180402403415,FYFinancialStatements_Consolidated_JP,FY,2018-03-31,29243000000,3200000000,10928283
1301,2018-08-03,11:30:00,20180627471686,1QFinancialStatements_Consolidated_JP,1Q,2019-03-31,29667000000,3200000000,10928283
1301,2018-11-05,11:30:00,20180921409376,2QFinancialStatements_Consolidated_JP,2Q,2019-03-31,30253000000,3200000000,10928283
1301,2019-02-08,11:30:00,20190125463477,3QFinancialStatements_Consolidated_JP,3Q,2019-03-31,31533000000,3200000000,10928283
1301,2019-05-13,11:30:00,20190510420409,FYFinancialStatements_Consolidated_JP,FY,2019-03-31,31996000000,3800000000,10928283
1301,2019-08-02,11:30:00,20190723474600,1QFinancialStatements_Consolidated_JP,1Q,2020-03-31,31540000000,3800000000,10928283
1301,2019-11-05,11:30:00,20191021410184,2QFinancialStatements_Consolidated_JP,2Q,2020-03-31,31762000000,3000000000,10928283
1301,2019-11-05,11:30:00,20191030415868,EarnForecastRevision,FY,2020-03-31,,3000000000,
1301,2020-02-07,11:30:00,20200128451449,3QFinancialStatements_Consolidated_JP,3Q,2020-03-31,33405000000,3000000000,10928283
1301,2020-05-12,11:30:00,20200424499259,FYFinancialStatements_Consolidated_JP,FY,2020-03-31,32593000000,3000000000,10928283
1301,2020-08-07,11:45:00,20200727467161,1QFinancialStatements_Consolidated_JP,1Q,2021-03-31,32920000000,3000000000,10928283
1301,2020-11-06,11:30:00,20201023407472,2QFinancialStatements_Consolidated_JP,2Q,2021-03-31,34480000000,3000000000,10928283
1301,2021-02-05,11:30:00,20210125447951,3QFinancialStatements_Consolidated_JP,3Q,2021-03-31,37984000000,3000000000,10928283
1301,2021-05-14,11:30:00,20210423498870,FYFinancialStatements_Consolidated_JP,FY,2021-03-31,39975000000,3500000000,10928283
1301,2021-08-06,11:30:00,20210708463685,1QFinancialStatements_Consolidated_JP,1Q,2022-03-31,39995000000,3500000000,10928283
1301,2021-11-05,11:30:00,20211019413422,2QFinancialStatements_Consolidated_JP,2Q,2022-03-31,41585000000,3500000000,10928283
1301,2022-02-04,11:30:00,20220119569653,3QFinancialStatements_Consolidated_JP,3Q,2022-03-31,42060000000,3500000000,10928283
1301,2022-02-25,11:30:00,20220221593424,EarnForecastRevision,FY,2022-03-31,,4500000000,
1301,2022-04-25,15:30:00,20220425527093,DividendForecastRevision,FY,2022-03-31,,,
1301,2022-05-13,11:30:00,20220415522807,FYFinancialStatements_Consolidated_JP,FY,2022-03-31,42174000000,4900000000,10928283
1301,2022-08-05,11:30:00,20220720502206,1QFinancialStatements_Consolidated_JP,1Q,2023-03-31,43208000000,4900000000,10928283
1301,2022-11-04,11:30:00,20221018545999,2QFinancialStatements_Consolidated_JP,2Q,2023-03-31,45482000000,4900000000,10928283
1301,2023-02-03,11:30:00,20230118590592,3QFinancialStatements_Consolidated_JP,3Q,2023-03-31,46902000000,4900000000,10928283
1301,2023-03-27,13:00:00,20230313529350,EarnForecastRevision,FY,2023-03-31,,5600000000,
1301,2023-03-27,13:00:00,20230327536403,DividendForecastRevision,FY,2023-03-31,,,
1301,2023-05-12,11:30:00,20230418548831,FYFinancialStatements_Consolidated_JP,FY,2023-03-31,46966000000,6000000000,10928283
1301,2023-08-04,11:30:00,20230714522999,1QFinancialStatements_Consolidated_JP,1Q,2024-03-31,47907000000,6000000000,10928283
1301,2023-11-06,11:30:00,20231017568093,2QFinancialStatements_Consolidated_JP,2Q,2024-03-31,50393000000,6000000000,10928283
